epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,761.637,0.89182,0.5633,0.99989,0.87417,0.8305,0.88696,0.62341,1.09017,0.64276,1.13383,0.00013625,0.00013625,0.00013625
92,769.856,0.87606,0.52144,0.99315,0.8735,0.84318,0.89184,0.62588,1.0951,0.63649,1.14392,0.000123875,0.000123875,0.000123875
93,778.399,0.88298,0.54304,1.01184,0.84586,0.84414,0.88363,0.62152,1.08672,0.63876,1.13536,0.0001115,0.0001115,0.0001115
94,786.772,0.86991,0.517,0.99383,0.85389,0.83422,0.88699,0.62732,1.0761,0.63616,1.13019,9.9125e-05,9.9125e-05,9.9125e-05
95,795.314,0.86855,0.50705,0.98333,0.85272,0.827,0.88746,0.62756,1.07423,0.63445,1.13349,8.675e-05,8.675e-05,8.675e-05
96,803.753,0.86655,0.51373,0.98846,0.86678,0.83252,0.89478,0.63,1.07744,0.63009,1.13498,7.4375e-05,7.4375e-05,7.4375e-05
97,811.994,0.85565,0.50386,0.98115,0.85342,0.84283,0.88943,0.63074,1.0752,0.6285,1.13432,6.2e-05,6.2e-05,6.2e-05
98,820.002,0.85007,0.49624,0.97742,0.84732,0.85167,0.89037,0.63226,1.07668,0.62977,1.13374,4.9625e-05,4.9625e-05,4.9625e-05
99,827.982,0.83468,0.49862,0.97568,0.85006,0.8431,0.89016,0.63165,1.0761,0.62749,1.13152,3.725e-05,3.725e-05,3.725e-05
100,836.858,0.84034,0.49011,0.97647,0.87383,0.83176,0.8929,0.63435,1.07532,0.62179,1.13392,2.4875e-05,2.4875e-05,2.4875e-05
